KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate
0.85,11.0,12.9,3.8,57.7,4.2,170.0,0.2
0.76,10.8,14.3,5.7,54.5,5.9,161.0,0.1
0.72,9.8,13.6,5.6,52.1,13.9,148.0,0.2
0.93,13.1,14.1,4.6,51.8,9.0,201.0,0.1
0.78,11.0,14.0,6.6,51.7,3.0,168.0,0.1
0.94,13.1,13.9,4.0,50.5,11.6,197.0,0.1
0.8,10.8,13.5,4.3,50.5,1.2,174.0,0.1
0.82,11.5,14.1,4.3,50.5,5.4,170.0,0.1
0.77,10.7,13.8,4.6,50.1,4.5,164.0,0.1
0.84,12.1,14.3,3.9,49.3,5.8,178.0,0.1
0.86,11.7,13.6,3.8,49.2,5.6,180.0,0.1
0.81,11.3,14.0,5.2,48.1,3.5,171.0,0.1
0.77,11.3,14.6,3.6,47.3,4.7,171.0,0.1
0.81,11.8,14.4,3.3,47.0,7.6,177.0,0.1
0.71,10.2,14.3,7.1,46.8,2.6,157.0,0.1
0.83,11.6,14.0,4.6,46.7,3.0,168.0,0.2
0.95,11.8,12.4,3.4,46.0,0.6,184.0,0.1
0.75,10.7,14.3,4.4,45.2,4.4,162.0,0.1
0.8,10.9,13.6,3.2,45.1,2.3,165.0,0.1
0.71,10.2,14.5,4.1,44.7,1.2,152.0,0.1
0.86,10.9,12.6,4.0,59.5,5.1,168.0,0.2
0.81,11.0,13.5,4.8,54.2,5.3,169.0,0.1
0.8,11.1,13.8,4.4,53.8,5.1,166.0,0.1
0.72,9.7,13.3,5.6,53.6,14.3,146.0,0.2
0.9,10.7,11.8,3.9,51.9,0.8,168.0,0.2
0.83,10.8,13.0,4.7,51.5,2.8,164.0,0.2
0.82,11.5,13.9,3.7,51.4,6.0,172.0,0.1
0.75,10.7,14.2,6.4,51.1,3.0,161.0,0.1
0.95,13.5,14.2,4.2,50.1,10.4,200.0,0.1
0.75,10.8,14.5,4.5,49.9,4.3,160.0,0.1
0.9,12.7,14.2,5.0,49.7,8.9,200.0,0.1
0.81,11.7,14.5,3.9,48.9,4.5,177.0,0.1
0.71,9.9,14.0,4.4,48.7,1.1,150.0,0.1
0.81,11.0,13.6,3.0,47.8,2.4,166.0,0.1
0.84,11.8,14.1,3.4,47.4,7.6,180.0,0.1
0.71,10.1,14.4,5.7,47.4,5.6,156.0,0.1
0.71,10.1,14.2,7.2,46.9,2.7,156.0,0.1
0.83,11.2,13.5,4.1,46.3,1.3,170.0,0.1
0.83,11.6,14.0,4.0,45.1,5.3,177.0,0.1
0.8,11.2,14.0,5.3,44.4,3.6,172.0,0.1
0.84,11.5,13.7,4.6,55.0,2.9,165.0,0.2
0.89,11.9,13.3,4.2,53.8,0.5,171.0,0.2
0.81,11.3,13.9,5.8,52.0,2.5,170.0,0.1
0.73,10.3,14.1,5.4,51.7,5.6,159.0,0.1
0.69,9.7,14.2,4.7,49.7,1.1,148.0,0.1
0.83,11.7,14.2,3.5,49.7,6.4,174.0,0.1
0.72,10.0,13.8,5.2,49.5,14.9,150.0,0.1
0.77,10.8,14.0,4.3,49.4,4.1,162.0,0.2
0.81,11.3,14.0,4.0,49.0,5.3,169.0,0.1
0.94,13.1,14.0,3.8,48.5,10.8,198.0,0.1
0.79,10.5,13.2,3.7,48.1,4.6,163.0,0.2
0.85,12.1,14.2,3.7,47.8,5.8,181.0,0.1
0.7,10.3,14.8,7.3,47.5,2.5,159.0,0.1
0.82,10.9,13.3,4.7,47.3,3.7,171.0,0.1
0.85,12.1,14.2,3.3,46.9,7.2,181.0,0.1
0.72,10.1,14.1,4.1,46.4,5.2,156.0,0.1
0.78,11.6,14.8,3.5,46.3,4.6,175.0,0.1
0.87,12.6,14.6,4.4,45.7,8.9,193.0,0.1
0.83,11.4,13.8,2.9,45.3,2.2,169.0,0.1
0.74,10.6,14.2,4.9,44.5,1.2,162.0,0.1
0.78,10.4,13.4,4.0,57.3,4.3,160.0,0.2
0.73,10.1,13.9,5.1,52.3,14.6,152.0,0.1
0.86,10.5,12.3,3.0,51.9,0.5,161.0,0.2
0.84,12.3,14.6,4.1,51.5,8.8,185.0,0.1
0.75,10.9,14.6,5.8,50.9,2.9,162.0,0.1
0.85,12.1,14.3,3.5,50.8,7.9,182.0,0.1
0.84,11.6,13.8,4.2,50.6,2.4,168.0,0.2
0.85,11.7,13.8,3.2,50.5,2.4,171.0,0.1
0.74,10.4,14.1,4.3,50.1,5.3,156.0,0.1
0.85,12.0,14.0,3.7,50.0,5.5,175.0,0.1
0.75,11.1,14.8,6.8,50.0,2.3,165.0,0.1
0.81,11.7,14.3,3.7,49.1,6.4,173.0,0.1
0.74,10.7,14.4,5.6,48.9,5.6,161.0,0.1
0.93,13.3,14.3,3.9,48.7,10.8,197.0,0.1
0.8,11.3,14.2,4.2,48.0,5.5,168.0,0.1
0.76,11.2,14.7,3.6,47.0,4.5,170.0,0.1
0.76,10.7,14.0,4.2,46.3,2.8,161.0,0.1
0.76,10.5,13.8,4.2,45.9,1.0,162.0,0.1
0.76,11.4,15.1,4.6,44.2,1.1,165.0,0.1
0.81,11.6,14.4,3.7,43.3,5.4,174.0,0.1
0.84,11.5,13.7,5.4,57.1,1.7,175.0,0.1
0.8,10.4,13.0,3.7,55.8,4.9,161.0,0.2
0.73,10.3,14.2,7.0,51.0,2.7,159.0,0.1
0.69,9.4,13.6,5.4,50.7,14.5,144.0,0.1
0.83,11.7,14.2,3.9,50.5,5.7,176.0,0.1
0.89,12.5,14.1,4.7,50.5,8.6,195.0,0.1
0.83,11.9,14.3,3.9,50.5,5.2,181.0,0.1
0.96,13.2,13.8,4.1,50.4,10.8,201.0,0.1
0.81,10.7,13.2,5.2,50.4,3.4,172.0,0.1
0.69,9.9,14.3,4.4,49.7,1.1,147.0,0.2
0.81,11.4,14.1,3.8,49.3,6.1,169.0,0.1
0.78,10.9,14.0,4.2,49.0,4.2,162.0,0.2
0.72,10.0,13.8,4.5,48.5,4.5,155.0,0.1
0.73,10.3,14.2,6.5,48.2,2.9,155.0,0.1
0.81,10.7,13.2,4.3,48.2,2.6,162.0,0.2
0.82,11.9,14.5,3.6,47.5,7.3,178.0,0.1
0.77,10.9,14.2,4.2,47.4,5.1,163.0,0.1
0.72,10.0,14.0,5.6,46.2,5.6,156.0,0.1
0.75,10.3,13.7,3.3,46.2,2.5,157.0,0.1
0.96,11.9,12.4,3.3,40.2,0.6,180.0,0.2
0.82,10.9,13.3,4.7,57.0,3.2,161.0,0.2
0.92,10.9,11.9,3.7,55.5,0.7,166.0,0.2
0.74,10.2,13.9,6.9,53.3,2.5,157.0,0.1
0.8,10.7,13.3,4.1,52.7,4.6,163.0,0.2
0.72,9.8,13.6,5.7,52.0,14.1,149.0,0.2
0.87,12.1,14.0,4.5,50.7,8.4,189.0,0.1
0.74,10.6,14.2,5.7,50.5,6.2,160.0,0.1
0.86,12.1,14.0,3.5,50.0,7.4,183.0,0.1
0.76,10.2,13.4,5.1,49.9,3.0,159.0,0.2
0.94,13.2,14.0,4.3,49.7,11.0,198.0,0.1
0.71,10.0,14.1,6.4,49.2,2.8,160.0,0.1
0.75,10.8,14.3,4.3,49.1,5.0,162.0,0.1
0.74,10.1,13.6,4.5,48.0,4.7,156.0,0.1
0.8,11.3,14.1,5.0,48.0,0.9,169.0,0.2
0.82,11.7,14.2,4.2,47.9,5.3,178.0,0.1
0.8,11.4,14.3,3.9,47.3,6.5,172.0,0.1
0.75,10.7,14.4,4.7,47.0,4.9,162.0,0.1
0.84,11.4,13.6,3.2,46.0,2.5,172.0,0.1
0.81,11.7,14.4,3.7,45.7,5.0,182.0,0.1
0.71,10.4,14.6,4.9,44.0,1.3,156.0,0.1
0.99,11.9,12.0,3.6,52.5,4.4,196.0,0.2
1.18,14.8,12.6,3.8,51.1,11.7,242.0,0.1
1.07,13.6,12.8,4.1,50.9,7.6,230.0,0.1
0.88,10.8,12.2,5.3,50.8,11.6,177.0,0.1
0.96,11.9,12.4,4.2,50.4,4.0,195.0,0.1
1.01,12.2,12.1,4.1,50.2,3.2,197.0,0.2
0.93,11.6,12.5,5.9,50.2,3.0,193.0,0.1
0.9,11.4,12.6,5.1,50.1,4.8,188.0,0.1
0.96,11.8,12.3,5.2,49.9,3.3,196.0,0.1
0.98,12.5,12.8,4.9,49.8,1.6,207.0,0.1
1.07,13.1,12.2,4.4,49.5,1.0,211.0,0.1
0.97,12.7,13.2,3.6,49.4,4.5,210.0,0.1
1.0,12.7,12.6,4.4,49.4,5.3,205.0,0.1
1.05,13.4,12.8,3.3,49.4,10.0,220.0,0.1
0.99,12.3,12.4,3.6,49.2,6.2,204.0,0.1
1.07,13.2,12.4,3.0,49.0,3.1,213.0,0.1
0.9,11.1,12.3,4.1,48.8,5.4,184.0,0.1
0.99,12.5,12.6,3.6,48.6,4.5,203.0,0.1
0.91,11.7,12.9,6.6,47.9,3.1,196.0,0.1
0.92,11.8,12.8,4.5,47.7,1.5,194.0,0.1
0.99,12.0,12.1,3.6,52.4,4.4,197.0,0.2
1.09,14.2,13.0,4.3,51.4,8.9,238.0,0.1
0.89,11.0,12.3,5.5,51.1,11.9,179.0,0.1
1.17,14.9,12.7,3.9,50.9,11.6,241.0,0.1
1.03,12.6,12.2,4.2,50.7,3.7,201.0,0.2
0.95,11.9,12.5,4.1,50.3,3.6,193.0,0.1
0.95,11.9,12.5,5.4,50.2,3.3,197.0,0.1
1.09,13.4,12.3,4.5,50.1,1.1,214.0,0.1
0.94,11.9,12.7,6.2,50.1,3.1,194.0,0.1
1.02,12.9,12.7,4.5,49.7,5.7,208.0,0.1
0.98,12.7,13.0,5.0,49.7,1.5,206.0,0.1
0.89,11.4,12.8,5.0,49.6,4.6,186.0,0.1
1.04,13.4,12.9,3.3,49.1,9.8,218.0,0.1
0.99,12.3,12.4,3.6,49.1,6.1,202.0,0.1
0.88,11.0,12.4,4.0,48.8,4.8,181.0,0.1
0.94,12.5,13.3,3.6,48.6,4.3,205.0,0.1
0.99,12.6,12.7,3.6,48.3,4.4,203.0,0.1
1.04,13.1,12.6,3.0,48.3,2.8,210.0,0.1
0.9,11.7,13.0,6.6,48.2,3.1,195.0,0.1
0.92,11.8,12.9,4.4,47.1,1.3,193.0,0.1
1.03,12.2,11.9,3.7,52.8,5.6,201.0,0.2
1.07,13.7,12.9,4.3,51.1,7.7,233.0,0.1
1.16,14.7,12.7,3.9,50.9,11.6,240.0,0.1
0.97,11.9,12.4,5.7,50.8,3.6,199.0,0.1
0.88,10.8,12.2,5.4,50.6,11.2,177.0,0.1
0.92,11.6,12.6,6.2,50.5,2.8,192.0,0.1
1.09,13.3,12.2,4.9,50.1,1.1,213.0,0.1
0.94,11.7,12.4,4.2,49.9,3.2,191.0,0.1
0.97,12.4,12.8,5.0,49.8,1.3,204.0,0.1
1.01,12.2,12.1,4.2,49.8,3.1,195.0,0.2
0.89,11.4,12.7,5.2,49.7,4.7,186.0,0.1
1.01,12.8,12.7,4.9,49.6,5.8,207.0,0.1
0.95,11.6,12.3,4.4,49.5,6.2,192.0,0.1
1.04,13.5,12.9,3.3,49.3,10.1,220.0,0.1
0.99,12.4,12.5,3.7,49.2,6.2,205.0,0.1
0.94,12.5,13.3,3.6,49.0,4.2,205.0,0.1
1.07,13.4,12.5,3.0,48.6,3.0,214.0,0.1
0.98,12.5,12.7,3.6,48.4,4.3,202.0,0.1
0.91,11.7,12.9,6.5,47.6,3.0,196.0,0.1
0.91,11.7,12.9,4.5,47.5,1.3,191.0,0.1
0.98,11.8,12.1,3.5,52.2,4.2,195.0,0.2
1.17,14.8,12.7,3.8,51.1,11.7,241.0,0.1
0.89,10.9,12.3,5.2,50.7,11.7,178.0,0.1
1.06,13.6,12.8,3.9,50.7,7.3,227.0,0.1
0.94,11.8,12.6,5.7,50.5,3.1,195.0,0.1
0.9,11.5,12.7,5.0,50.2,4.7,188.0,0.1
0.96,11.9,12.3,5.1,50.0,3.6,197.0,0.1
1.02,12.3,12.1,4.0,50.0,3.3,198.0,0.2
1.02,13.0,12.7,4.5,50.0,6.3,208.0,0.1
0.98,12.7,12.9,4.8,49.8,1.5,207.0,0.1
0.93,11.6,12.5,4.0,49.5,3.1,189.0,0.1
0.96,12.8,13.3,3.5,49.5,4.4,209.0,0.1
1.05,13.6,12.8,3.2,49.4,10.1,221.0,0.1
1.0,12.5,12.5,3.5,49.4,6.4,206.0,0.1
1.06,13.2,12.4,2.9,49.2,3.2,212.0,0.1
0.91,11.3,12.4,4.0,48.9,5.6,185.0,0.1
0.99,12.7,12.8,3.5,48.8,4.6,204.0,0.1
0.9,11.7,13.0,6.5,48.1,3.0,195.0,0.1
1.06,13.1,12.4,4.4,48.0,1.1,210.0,0.1
0.92,11.8,12.9,4.4,47.6,1.3,193.0,0.1
0.98,11.8,12.0,3.5,52.7,3.9,195.0,0.2
1.18,14.8,12.5,3.7,51.3,11.7,242.0,0.1
0.88,10.8,12.2,5.0,50.9,12.1,178.0,0.1
1.0,12.3,12.4,4.2,50.9,5.8,201.0,0.1
1.05,13.4,12.8,3.8,50.6,7.5,225.0,0.1
0.9,11.4,12.6,5.1,50.1,4.5,188.0,0.1
1.08,13.3,12.3,2.8,49.9,3.3,214.0,0.1
0.98,12.8,13.1,3.5,49.7,4.5,211.0,0.1
1.07,13.7,12.8,3.2,49.7,10.5,225.0,0.1
0.92,11.5,12.5,5.5,49.4,2.6,191.0,0.1
0.98,11.9,12.1,3.9,49.3,2.4,192.0,0.2
1.01,12.7,12.6,3.9,49.3,5.0,207.0,0.1
0.92,11.3,12.3,4.0,49.2,6.6,187.0,0.1
0.97,12.0,12.3,3.3,48.7,5.9,199.0,0.1
1.03,12.6,12.2,3.8,48.6,0.7,204.0,0.1
0.95,12.2,12.8,4.6,48.6,1.1,201.0,0.1
0.99,12.5,12.6,3.4,48.5,4.7,203.0,0.1
0.91,11.3,12.3,4.4,48.3,2.7,188.0,0.1
0.93,12.0,12.8,4.3,48.3,1.4,195.0,0.1
0.92,11.8,12.8,6.5,48.2,3.2,198.0,0.1
0.99,11.7,11.8,3.6,52.6,4.3,197.0,0.2
1.19,14.6,12.3,3.9,51.2,11.6,243.0,0.1
1.06,13.3,12.5,4.1,50.8,7.3,228.0,0.1
0.87,10.5,12.0,5.3,50.7,11.3,175.0,0.1
1.01,12.0,11.9,4.1,50.7,3.2,197.0,0.2
0.99,12.0,12.1,5.4,50.6,4.1,201.0,0.1
0.96,11.7,12.2,4.2,50.4,4.1,194.0,0.1
0.92,11.3,12.2,5.9,50.4,3.1,191.0,0.1
0.9,11.2,12.4,5.2,50.2,4.8,187.0,0.1
1.01,12.7,12.6,5.1,50.2,2.8,211.0,0.1
0.99,12.8,12.9,3.6,50.0,5.1,214.0,0.1
1.05,13.2,12.5,3.3,49.5,9.7,219.0,0.1
1.07,13.1,12.2,3.0,49.0,3.2,213.0,0.1
0.99,12.0,12.1,3.6,49.0,6.1,202.0,0.1
0.98,12.1,12.4,4.2,48.8,4.5,199.0,0.1
1.06,12.7,11.9,4.3,48.6,0.9,208.0,0.1
0.99,12.3,12.4,3.6,48.6,4.5,203.0,0.1
0.91,11.5,12.6,6.6,47.8,3.1,196.0,0.1
0.92,11.6,12.5,4.5,47.7,1.5,192.0,0.1
0.85,10.4,12.2,4.0,47.7,4.6,175.0,0.1
0.97,11.4,11.7,3.7,52.9,3.8,193.0,0.2
1.19,14.7,12.3,3.9,51.2,11.8,243.0,0.1
0.88,10.6,12.0,5.3,50.9,11.6,176.0,0.1
1.05,13.3,12.6,4.1,50.8,6.9,226.0,0.1
0.97,11.9,12.2,4.4,50.7,4.6,197.0,0.1
0.93,11.5,12.4,5.2,50.6,5.6,191.0,0.1
1.1,13.0,11.9,4.5,50.4,1.4,213.0,0.1
1.01,12.0,11.9,4.1,50.2,3.3,196.0,0.2
0.93,11.4,12.4,6.0,49.9,3.0,192.0,0.1
1.01,12.3,12.2,3.6,49.5,6.4,205.0,0.1
0.94,11.5,12.1,5.1,49.4,3.1,193.0,0.1
0.98,12.7,13.0,3.6,49.3,4.7,211.0,0.1
0.96,12.2,12.7,4.9,49.3,1.3,202.0,0.1
1.05,13.1,12.5,3.3,49.2,9.8,218.0,0.1
1.01,12.6,12.5,3.6,49.0,4.7,207.0,0.1
0.98,12.1,12.4,4.3,48.9,4.5,200.0,0.1
1.08,13.1,12.1,3.0,48.9,3.5,214.0,0.1
0.88,10.7,12.1,4.1,48.6,4.9,179.0,0.1
0.93,11.7,12.6,4.6,48.1,1.9,194.0,0.1
0.91,11.6,12.7,6.4,47.8,3.1,197.0,0.1
0.96,11.8,12.3,3.5,51.3,4.3,194.0,0.2
1.19,15.1,12.7,4.0,51.1,12.1,244.0,0.1
1.06,13.6,12.9,4.1,50.8,7.5,229.0,0.1
0.87,10.8,12.4,5.2,50.8,11.5,177.0,0.1
1.01,12.4,12.3,4.1,50.7,3.2,198.0,0.2
0.99,12.8,13.0,5.1,50.6,1.8,208.0,0.1
0.94,11.9,12.7,6.0,50.5,3.5,195.0,0.1
0.94,11.9,12.6,4.2,50.4,3.2,194.0,0.1
0.99,13.0,13.2,3.7,50.3,4.8,213.0,0.1
0.91,11.6,12.8,5.2,49.9,4.9,189.0,0.1
1.05,13.1,12.5,4.1,49.8,1.0,210.0,0.1
1.01,12.7,12.5,3.7,49.7,6.5,208.0,0.1
1.06,13.7,12.9,3.3,49.6,10.0,222.0,0.1
1.06,13.3,12.6,3.0,49.4,2.8,213.0,0.1
0.99,12.7,12.8,4.3,49.3,5.1,205.0,0.1
0.88,11.0,12.6,4.2,48.7,4.9,182.0,0.1
1.0,12.7,12.8,3.7,48.6,4.7,205.0,0.1
0.93,11.7,12.6,5.0,48.5,3.0,194.0,0.1
0.92,12.1,13.1,7.0,47.9,3.4,200.0,0.1
0.93,12.2,13.1,4.5,47.2,1.9,198.0,0.1
1.15,4.7,4.1,1.3,51.3,11.4,230.0,0.1
1.07,4.5,4.2,1.1,50.8,10.8,220.0,0.1
0.98,3.8,3.9,1.2,50.8,3.8,192.0,0.2
1.02,4.0,4.0,1.2,50.6,6.2,202.0,0.1
1.08,4.5,4.2,1.3,50.6,10.6,227.0,0.1
1.01,4.3,4.3,1.2,50.5,7.1,214.0,0.1
1.1,4.4,4.0,1.1,50.4,3.8,215.0,0.1
0.88,3.5,4.0,1.7,49.8,10.3,175.0,0.1
0.93,3.7,4.0,1.6,49.4,2.5,188.0,0.1
0.98,4.1,4.2,1.6,49.4,1.5,201.0,0.1
0.92,3.8,4.1,2.0,49.3,3.0,187.0,0.1
0.96,3.9,4.1,1.2,49.2,5.3,191.0,0.1
0.98,3.9,4.0,1.4,49.1,2.4,188.0,0.1
0.85,3.5,4.1,1.8,49.1,4.3,177.0,0.1
0.89,3.6,4.1,1.3,48.8,3.3,179.0,0.1
0.89,3.5,4.0,1.3,48.8,4.4,178.0,0.1
0.95,3.9,4.1,1.3,48.7,4.2,193.0,0.1
0.99,4.0,4.0,1.3,48.0,0.6,191.0,0.1
0.89,3.7,4.2,2.2,48.0,3.0,189.0,0.1
